"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,8,0.05,0.0517947467923121,0.936647196101378,0.230164908581461,0.358790309324113
1,4,1,0.0848342898244071,0.270083133419998,0.661793010443888,0.96604476470624
1,6,0.05,1,0.922671251130185,0.213777195485115,0.336960073443589
1,6,0.975,0.00163789370695406,0.864482379997709,0.279741848085175,0.507198010485569
1,8,0,0.138949549437314,0.906678688807412,0.328997424274537,0.423146246709403
1,8,0,0.0117876863479359,0.911038817456862,0.30125240965803,0.41402655993214
1,8,0.9,0.00719685673001152,0.957381339787641,0.179840602725705,0.283157787252072
1,4,0.075,0.00163789370695406,0.98712546259781,0.112590452696005,0.164075310655131
1,3,0.575,0.0117876863479359,0.897950276651836,0.322213293286804,0.442309909352878
1,8,0.975,0.00719685673001152,0.875204204704265,0.343334974350003,0.468005868100293
1,6,1,0.0193069772888325,0.687909942554706,0.450131034296705,0.698887985133118
1,6,0.925,0.0193069772888325,0.865480152765293,0.324522869127657,0.459397963318281
1,8,0.725,0.0316227766016838,0.851681417483834,0.364828137712995,0.495693613623393
1,8,0,0.0117876863479359,0.967180081721447,0.160153311562423,0.255937086266213
1,8,0.025,0.372759372031494,0.871587678813862,0.377354504542601,0.497135753455739
1,0.5,0.225,1,0.520112563924468,0.471918800747905,0.932229009255844
1,8,0.05,1,0.873153949663559,0.324847278718477,0.453528614361559
1,2,0.3,0.00439397056076079,0.831982607017226,0.402969589676465,0.555448465135408
1,8,0.05,1,0.877119641308191,0.322773308467452,0.477139897665704
1,8,0.775,0.00719685673001152,0.858607544056794,0.314845602778524,0.442731056054087
1,4,0,1,0.614446788326128,0.476556741796842,0.679514715469675
1,8,0.775,0.0316227766016838,0.689861631334205,0.424207651113551,0.63507117698511
1,0.75,0,1,0.851948461982607,0.35428251201318,0.522610023193841
1,2,0.875,0.0193069772888325,0.801956294718447,0.432855118692469,0.595781766152418
1,8,0.675,0.0316227766016838,0.935540807247257,0.246764881873013,0.356102837145522
1,8,0,0.0193069772888325,0.904007416121637,0.315564018727791,0.424703593603563
1,8,0,0.0848342898244071,0.881426699893687,0.353245085096784,0.482001703530389
1,8,0,0.227584592607479,0.83572844188596,0.343625475943185,0.529198421353582
1,8,0.125,0.0193069772888325,0.759914454605324,0.443530766093918,0.626440621994844
1,0.005,0.625,0.227584592607479,0.60554373505891,0.438732657014692,0.684689013424477
1,6,0.7,0.0517947467923121,0.870406645032773,0.319827631000024,0.499712234339763
1,8,0,0.610540229658533,0.486718073716035,0.638615603105371,0.835601113755296
1,8,0,0.138949549437314,0.855196434254373,0.394724343127163,0.528165944179757
1,2,0.05,1,0.925052484326787,0.153797550610795,0.33659214289682
